hexcode,Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive,emo_name,Positivity,Neutrality
F09F918D,👍,,1,,0,0.1,0.9,THUMBS UP SIGN,0.9,0.1
F09F9881,😁,,1,,0,0.8,0.2,GRINNING FACE WITH SMILING EYES,0.2,0.8
F09FA4AE,🤮,,1,,1,0,0,FACE WITH OPEN MOUTH VOMITING,-1,0
E29DA4,❤,,1,,0,0,1,HEAVY BLACK HEART,1,0
F09F918F,👏,,1,,0,0.05,0.95,CLAPPING HANDS SIGN,0.95,0.05
F09FA4AC,🤬,,1,,0.5,0.5,0,SERIOUS FACE WITH SYMBOLS COVERING MOUTH,-0.5,0.5
F09F918E,👎,,1,,0.9,0.1,0,THUMBS DOWN SIGN,-0.9,0.1
F09FA4A3,🤣,,1,,0,0.8,0.2,ROLLING ON THE FLOOR LAUGHING,0.2,0.8
F09F92A9,💩,,1,,0.6,0.4,0,PILE OF POO,-0.6,0.4
F09FA494,🤔,,1,,0,1,0,THINKING FACE,0,1
F09F94A5,🔥,,1,,0,0.8,0.2,FIRE,0.2,0.8
F09F928A,💊,,1,,0.3,0.7,0,PILL,-0.3,0.7
F09FA4A1,🤡,,1,,0.2,0.8,0,CLOWN FACE,-0.2,0.8
F09F92AF,💯,,1,,0,0.3,0.7,HUNDRED POINTS SYMBOL,0.7,0.3
F09F98A2,😢,,1,,0.5,0.5,0,CRYING FACE,-0.5,0.5
F09F98B1,😱,,1,,0.5,0.5,0,FACE SCREAMING IN FEAR,-0.5,0.5
F09F998F,🙏,,1,,0.1,0.8,0.1,PERSON WITH FOLDED HANDS,0,0.8
F09F9695,🖕,,1,,0.5,0.5,0,REVERSED HAND WITH MIDDLE FINGER EXTENDED,-0.5,0.5
F09F9988,🙈,,1,,0,1,0,SEE-NO-EVIL MONKEY,0,1
F09F918C,👌,,1,,0,0.4,0.6,OK HAND SIGN,0.6,0.4
F09F958A,🕊,,1,,0,0.6,0.4,DOVE OF PEACE,0.4,0.6
F09FA4AF,🤯,,1,,0.4,0.4,0.2,SHOCKED FACE WITH EXPLODING HEAD,-0.2,0.4
F09F98A1,😡,,1,,0.5,0.5,0,POUTING FACE,-0.5,0.5
F09FA4B7,🤷,,1,,0.1,0.8,0.1,SHRUG,0,0.8
F09F8E89,🎉,,1,,0,0.7,0.3,PARTY POPPER,0.3,0.7
