"count_matching_records","frequency","probability"
2,2981,0.0023817722910636
3,786,0.00062800168425897
4,338,0.000270056703917979
5,173,0.000138224289283463
6,60,4.79390598670969e-05
7,38,3.03614045824947e-05
8,19,1.51807022912474e-05
9,24,1.91756239468388e-05
10,6,4.79390598670969e-06
11,13,1.03867963045377e-05
12,2,1.59796866223656e-06
13,3,2.39695299335485e-06
14,3,2.39695299335485e-06
15,10,7.98984331118282e-06
16,4,3.19593732447313e-06
17,3,2.39695299335485e-06
23,2,1.59796866223656e-06
28,1,7.98984331118282e-07
33,1,7.98984331118282e-07
34,1,7.98984331118282e-07
39,1,7.98984331118282e-07
