hexcode,Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive,emo_name
F09F918D,👍,,1,,0,0.1,0.9,THUMBS UP SIGN
F09F9881,😁,,1,,0,0.8,0.2,GRINNING FACE WITH SMILING EYES
F09FA4AE,🤮,,1,,1,0,0,FACE WITH OPEN MOUTH VOMITING
E29DA4,❤,,1,,0,0,1,HEAVY BLACK HEART
F09F918F,👏,,1,,0,0.05,0.95,CLAPPING HANDS SIGN
F09FA4AC,🤬,,1,,0.5,0.5,0,SERIOUS FACE WITH SYMBOLS COVERING MOUTH
F09F918E,👎,,1,,0.9,0.1,0,THUMBS DOWN SIGN
F09FA4A3,🤣,,1,,0,0.8,0.2,ROLLING ON THE FLOOR LAUGHING
F09F92A9,💩,,1,,0.6,0.4,0,PILE OF POO
F09FA494,🤔,,1,,0,1,0,THINKING FACE
F09F94A5,🔥,,1,,0,0.8,0.2,FIRE
F09F928A,💊,,1,,0.3,0.7,0,PILL
F09FA4A1,🤡,,1,,0.2,0.8,0,CLOWN FACE
F09F92AF,💯,,1,,0,0.3,0.7,HUNDRED POINTS SYMBOL
F09F98A2,😢,,1,,0.5,0.5,0,CRYING FACE
F09F98B1,😱,,1,,0.5,0.5,0,FACE SCREAMING IN FEAR
F09F998F,🙏,,1,,0.1,0.8,0.1,PERSON WITH FOLDED HANDS
F09F9695,🖕,,1,,0.5,0.5,0,REVERSED HAND WITH MIDDLE FINGER EXTENDED
F09F9988,🙈,,1,,0,1,0,SEE-NO-EVIL MONKEY
F09F918C,👌,,1,,0,0.4,0.6,OK HAND SIGN
F09F958A,🕊,,1,,0,0.6,0.4,DOVE OF PEACE
F09FA4AF,🤯,,1,,0.4,0.4,0.2,SHOCKED FACE WITH EXPLODING HEAD
F09F98A1,😡,,1,,0.5,0.5,0,POUTING FACE
F09FA4B7,🤷,,1,,0.1,0.8,0.1,SHRUG
F09F8E89,🎉,,1,,0,0.7,0.3,PARTY POPPER
