"","message_id","hex_u_emo","count","Emoji","Unicode.codepoint","Occurrences","Position","Negative","Neutral","Positive","Substituted","negative_norm","neutral_norm","positive_norm","neutral","positive","negative"
"1",88556,"F09F918D",24,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,5.9546925566343,15.2880258899676,2.75728155339806
"2",88556,"F09F9881",8,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,2.36820465966195,4.61580630424852,1.01598903608954
"3",88557,"F09F918D",36,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,8.93203883495146,22.9320388349515,4.13592233009709
"4",88558,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
"5",88558,"F09F98B1",24,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,6.77522123893805,10.8955752212389,6.32920353982301
"6",88559,"F09F918D",22,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,5.45846817691478,14.0140237324703,2.52750809061489
"7",88559,"F09F9881",2,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,0.592051164915486,1.15395157606213,0.253997259022385
"8",88560,"F09F918D",38,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,9.42826321467098,24.2060409924488,4.36569579288026
"9",88561,"F09F918D",3,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.744336569579288,1.91100323624595,0.344660194174757
"10",88561,"F09F98B1",26,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,7.33982300884956,11.8035398230088,6.85663716814159
"11",88562,"F09F918D",26,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,6.45091693635383,16.5620280474649,2.98705501618123
"12",88562,"F09F9881",4,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,1.18410232983097,2.30790315212426,0.507994518044769
"13",88564,"E29DA4",5,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.828571428571429,3.95093167701863,0.220496894409938
"14",88564,"F09F918D",66,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,16.3754045307443,42.042071197411,7.58252427184466
"15",88565,"E29DA4",31,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.13714285714286,24.4957763975155,1.36708074534161
"16",88565,"F09F918D",21,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,5.21035598705502,13.3770226537217,2.4126213592233
"17",88566,"F09F918D",40,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,9.92448759439051,25.4800431499461,4.59546925566343
"18",88566,"F09F98A2",1,"😢",128546,749,0.813896833,288,168,293,"",0.384512683578104,0.224299065420561,0.391188251001335,0.224299065420561,0.391188251001335,0.384512683578104
"19",88567,"F09F918D",33,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,8.18770226537217,21.0210355987055,3.79126213592233
"20",88568,"F09F918D",55,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,13.6461704422869,35.0350593311758,6.31877022653722
"21",88568,"F09F9881",3,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,0.88807674737323,1.73092736409319,0.380995888533577
"22",88568,"F09F98B1",2,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,0.564601769911504,0.907964601769911,0.527433628318584
"23",88569,"F09F918D",15,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,3.72168284789644,9.55501618122977,1.72330097087379
"24",88570,"F09F98B1",10,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,2.82300884955752,4.53982300884956,2.63716814159292
"25",88571,"F09F918D",18,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,4.46601941747573,11.4660194174757,2.06796116504854
"26",88572,"F09F918D",22,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,5.45846817691478,14.0140237324703,2.52750809061489
"27",88573,"F09F918D",1,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,0.248112189859763,0.637001078748652,0.114886731391586
