"","count","hex_u_emo","name","Emoji","Unicode.codepoint","Occurrences","Position","Negative","Neutral","Positive","Substituted","negative_norm","neutral_norm","positive_norm","rank"
"1",19527911,"F09F918D","THUMBS UP SIGN","👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1
"2",4341785,"F09F9881","GRINNING FACE WITH SMILING EYES","😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,2
"3",3867268,"F09FA4AE","FACE WITH OPEN MOUTH VOMITING","😠",128544,288,0.849218089,163,49,76,"ANGRY FACE",0.565972222222222,0.170138888888889,0.263888888888889,3
"4",3213539,"E29DA4","HEAVY BLACK HEART","❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,4
"5",2241348,"F09FA4AC","SERIOUS FACE WITH SYMBOLS COVERING MOUTH","💰",128176,168,0.827466509,26,73,69,"MONEY BAG",0.154761904761905,0.43452380952381,0.410714285714286,5
"6",2182753,"F09F918F","CLAPPING HANDS SIGN","👏",128079,2336,0.787130164,243,634,1459,"",0.10402397260274,0.271404109589041,0.624571917808219,6
"7",1696172,"F09F918E","THUMBS DOWN SIGN","👎",128078,258,0.914491346,128,51,79,"",0.496124031007752,0.197674418604651,0.306201550387597,7
"8",1179747,"F09FA4A3","ROLLING ON THE FLOOR LAUGHING","😂",128514,14622,0.805100583,3614,4163,6845,"FACE WITH TEARS OF JOY",0.247161810969772,0.284707974285323,0.468130214744905,8
"9",1144289,"F09F92A9","PILE OF POO","💩",128169,229,0.839720048,94,68,67,"",0.410480349344978,0.296943231441048,0.292576419213974,9
"10",862838,"F09FA4A1","CLOWN FACE","🎉",127881,1125,0.743635879,43,207,875,"PARTY POPPER",0.0382222222222222,0.184,0.777777777777778,10
"11",839385,"F09F94A5","FIRE","🔥",128293,651,0.61555041,80,400,171,"",0.122887864823349,0.614439324116744,0.262672811059908,11
"12",796286,"F09F928A","PILL","💊",128138,55,0.675071279,8,14,33,"",0.145454545454545,0.254545454545455,0.6,12
"13",766394,"F09FA494","THINKING FACE","😲",128562,129,0.853619885,50,38,41,"ASTONISHED FACE",0.387596899224806,0.294573643410853,0.317829457364341,13
"14",507832,"F09F92AF","HUNDRED POINTS SYMBOL","💯",128175,637,0.871819418,179,202,256,"",0.281004709576138,0.317111459968603,0.401883830455259,14
"15",502518,"F09F98A2","CRYING FACE","😢",128546,749,0.813896833,288,168,293,"",0.384512683578104,0.224299065420561,0.391188251001335,15
"16",443703,"F09F98B1","FACE SCREAMING IN FEAR","😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,16
"17",307838,"F09F998F","PERSON WITH FOLDED HANDS","🙏",128591,1539,0.793847592,124,648,767,"",0.0805717998700455,0.421052631578947,0.498375568551007,17
"18",243564,"F09F918C","OK HAND SIGN","👌",128076,2925,0.805222883,274,728,1923,"",0.0936752136752137,0.248888888888889,0.657435897435897,18
"19",223492,"F09F9695","REVERSED HAND WITH MIDDLE FINGER EXTENDED","✊",9994,270,0.858608998,37,79,154,"RAISED FIST",0.137037037037037,0.292592592592593,0.57037037037037,19
"20",211981,"F09F958A","DOVE OF PEACE","☮",9774,5,0.75037594,2,1,2,"PEACE SYMBOL",0.4,0.2,0.4,20
"21",205071,"F09F9988","SEE-NO-EVIL MONKEY","🙈",128584,1456,0.738880937,238,350,868,"",0.163461538461538,0.240384615384615,0.596153846153846,21
"22",171654,"F09FA4AF","SHOCKED FACE WITH EXPLODING HEAD","😲",128562,129,0.853619885,50,38,41,"ASTONISHED FACE",0.387596899224806,0.294573643410853,0.317829457364341,22
"23",145326,"F09F98A1","POUTING FACE","😡",128545,756,0.861522028,403,81,272,"",0.533068783068783,0.107142857142857,0.35978835978836,23
"24",88121,"F09F8DBE","BOTTLE WITH POPPING CORK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"25",83560,"F09FA4B7","SHRUG","😐",128528,270,0.882732825,150,76,44,"NEUTRAL FACE",0.555555555555556,0.281481481481481,0.162962962962963,25
