"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
114830,224,0,16,1,0,0,0,0,0
118096,180,0,44,44,0,0,0,0,0
139417,177,0,19,45,0,0,0,0,0
125558,176,0,12,31,0,0,0,0,0
117817,174,0,0,0,3,0,0,0,0
121791,174,0,24,8,0,0,0,0,0
116697,167,5,52,10,0,0,0,0,0
132802,165,0,17,9,0,0,0,0,2
119932,164,1,1,38,0,3,0,0,0
125056,164,0,2,0,0,2,5,8,0
112090,163,0,2,27,0,0,0,0,0
134097,162,0,74,6,0,0,0,0,0
134557,162,0,20,13,0,0,1,0,0
115096,161,0,0,30,0,0,0,0,0
118216,159,11,7,20,0,0,0,0,0
114702,158,0,0,14,1,0,0,0,0
132985,158,0,11,32,0,0,0,0,0
136228,158,0,39,20,0,0,0,0,0
117730,156,1,41,7,0,0,0,0,7
128568,152,0,1,0,0,0,0,0,0
149156,152,0,11,27,0,2,0,0,19
138530,151,5,15,8,0,3,0,0,1
114827,150,0,17,21,0,0,0,0,0
121793,150,0,54,0,0,0,0,0,0
127356,150,0,32,0,0,0,0,0,0
134472,150,0,1,10,0,0,0,0,0
136469,150,0,7,11,0,0,0,0,2
113090,149,0,13,18,0,0,0,0,0
122696,149,11,0,2,0,4,0,0,9
145200,148,11,18,37,1,0,0,0,0
112918,147,0,0,21,0,3,0,0,0
114397,146,0,92,0,0,0,0,0,26
114835,146,0,31,0,0,0,0,0,0
121770,146,0,77,0,0,0,0,0,0
126604,146,0,16,24,0,0,0,0,2
149925,146,2,17,0,0,0,0,0,0
115930,144,0,23,17,0,0,3,40,2
121774,144,1,46,0,0,0,0,0,0
126493,143,0,2,18,0,1,0,0,15
115574,142,0,12,0,0,0,0,0,0
122278,142,0,9,33,0,0,0,0,0
130199,142,0,37,0,0,0,0,0,0
139159,142,8,34,0,0,1,0,0,0
142352,142,0,27,37,0,0,0,3,0
120413,141,0,16,0,0,4,23,0,0
125678,141,0,13,0,0,0,1,0,8
136086,141,0,23,23,2,0,0,0,4
