"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98B1","F09F998F","F09F918C","F09F958A","F09F8DBE","F09FA4B7","other"
127481,427,0,69,3,1,0,0,0,0,0,0,0,1,24,0,0,0,1
126969,426,0,23,64,2,2,2,0,0,0,22,0,6,0,0,0,0,0
126333,393,0,36,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134618,378,4,7,57,0,0,5,11,0,0,1,0,29,0,0,9,0,1
130221,375,0,51,8,0,0,0,0,0,4,0,0,0,0,0,2,0,8
131908,352,0,30,1,0,0,0,0,0,0,13,0,0,0,0,0,0,3
132641,347,0,62,30,0,0,7,0,0,0,16,0,3,0,0,0,0,0
132421,341,0,31,38,0,0,0,0,0,0,5,0,0,4,0,0,0,1
132509,341,0,67,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0
132861,339,0,29,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2
130823,335,0,56,0,0,0,2,0,0,0,22,0,0,0,0,0,0,3
135811,335,7,15,0,0,0,4,0,0,0,44,0,0,3,0,0,0,0
133364,332,1,42,22,0,0,0,0,0,7,16,0,5,0,0,0,0,1
132481,328,0,19,31,0,0,0,0,0,0,12,0,0,0,0,0,1,0
127595,323,0,7,1,0,0,0,10,0,3,0,0,0,0,0,0,0,1
131265,323,0,54,3,0,0,0,0,0,1,17,0,0,0,0,0,0,4
127776,321,0,3,7,1,1,0,6,0,0,0,0,23,11,0,0,0,1
132491,314,0,35,44,0,0,4,0,0,0,16,0,0,0,0,0,0,1
132177,307,0,38,4,0,0,0,0,0,0,13,0,1,0,0,0,0,0
126219,305,0,69,8,1,0,0,0,0,0,2,0,0,5,0,0,0,0
131207,305,0,20,22,0,0,3,0,0,2,45,0,0,0,0,0,0,0
131917,305,0,19,11,1,0,0,0,0,0,35,0,0,0,0,0,0,0
129234,304,0,9,0,0,0,3,0,0,4,76,0,0,0,0,0,4,1
132090,304,5,24,0,0,0,0,0,0,0,65,0,0,8,0,0,0,0
132798,304,0,41,16,0,0,4,0,1,0,32,0,0,3,0,0,1,0
127866,303,0,51,17,0,8,0,0,0,0,22,1,0,0,0,0,0,4
127653,300,0,39,12,0,0,8,0,1,0,43,0,0,5,0,0,0,0
130494,300,0,16,23,0,0,0,1,1,3,3,1,0,0,37,12,0,0
131744,297,0,23,11,0,0,2,1,0,0,45,0,0,0,0,0,0,1
133380,294,0,11,4,0,0,0,0,0,0,87,0,0,9,0,0,0,0
129361,293,0,12,6,0,0,0,0,0,1,32,0,0,0,0,0,2,0
132307,293,0,39,13,0,0,0,0,0,0,0,0,1,3,0,0,0,1
132317,292,0,48,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0
125967,291,50,19,14,0,0,0,0,0,0,0,0,3,0,0,0,3,0
127671,291,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,35,2
131561,291,0,41,11,3,0,0,0,0,0,0,0,0,36,0,0,0,0
134292,291,0,15,6,0,0,0,0,0,2,68,0,4,0,0,0,0,1
126952,290,1,7,42,0,5,0,0,0,0,2,0,0,14,0,0,0,0
127900,290,0,30,8,0,0,0,0,0,0,0,0,0,27,0,0,0,0
133957,290,0,28,0,0,0,2,1,0,0,0,0,0,7,0,0,0,13
125979,286,0,23,7,1,0,0,2,0,0,84,0,0,2,0,0,0,2
130706,285,0,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125784,282,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
130831,282,0,30,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
131897,282,0,38,11,0,0,0,0,0,0,18,0,0,0,0,0,0,1
132127,282,0,29,35,0,0,0,0,0,4,14,0,0,0,17,0,0,0
134861,280,0,4,16,0,0,0,0,0,0,28,0,5,0,0,0,0,6
129367,278,1,20,5,0,0,0,4,0,0,0,0,0,0,0,15,0,0
130166,276,0,29,6,0,26,0,0,0,1,0,0,0,0,0,0,0,1
129598,275,0,14,15,0,0,0,0,0,0,17,0,33,0,0,0,0,1
131961,275,10,6,38,0,0,0,14,0,2,0,0,6,0,0,3,0,9
125969,273,49,25,10,0,7,0,1,0,0,0,0,0,2,0,10,0,0
136120,273,2,13,3,0,0,1,0,0,0,53,0,0,4,0,0,0,1
128624,272,0,17,23,0,0,0,0,0,0,18,0,0,0,0,0,0,0
126649,271,0,0,9,0,0,0,0,0,0,58,0,0,13,0,0,0,0
134936,271,0,50,6,0,0,0,0,0,0,3,0,0,0,0,0,2,1
127592,270,1,6,0,0,0,0,0,0,0,26,0,0,24,0,0,0,2
131929,269,0,13,0,0,0,1,0,0,0,60,0,0,0,0,4,0,0
131738,268,0,10,1,0,0,1,0,0,0,46,0,0,0,0,0,0,0
128208,267,0,4,19,0,15,0,0,0,1,49,0,0,0,0,0,0,0
127641,266,0,10,2,0,2,0,0,0,19,53,0,2,0,0,0,0,7
