"","src_username","dst_username","log_forward_time","cat_forward_time","mode_forward_time","n_records","left_ratio","bar_color"
"1","casusbellilive","mimisramova",2.49276038902684,2.5,3,344,1.10811840824034,"darkgreen"
"2","casusbellilive","casusbellilive",6.34587557510986,6.5,6.5,5,0,"grey"
"3","casusbellilive","casusbellilive",6.39613759963543,6.5,6.5,5,0,"grey"
"4","casusbellilive","casusbellilive",7.10942059291759,7.5,6.5,5,0,"grey"
"5","casusbellilive","mimisramova",2.03342375548695,2.5,3,344,1.10811840824034,"darkgreen"
"6","casusbellilive","mimisramova",2.85186960072977,3,3,344,1.10811840824034,"darkgreen"
"7","casusbellilive","SvetKolemNas",4.60976510569274,5,5,17,2.09114864353793,"grey"
"8","casusbellilive","SvetKolemNas",4.60976510569274,5,5,17,2.09114864353793,"grey"
"9","casusbellilive","SvetKolemNas",4.60976510569274,5,5,17,2.09114864353793,"grey"
"10","casusbellilive","investigativnyblogSK",3.84348194303996,4,1,255,0.998191325158488,"black"
"11","casusbellilive","ksbspravy",4.06714527888539,4.5,4.5,36,1.29625765735454,"darkgreen"
"12","casusbellilive","mimisramova",2.65513843481138,3,3,344,1.10811840824034,"darkgreen"
"13","casusbellilive","investigativnyblogSK",3.46864266839151,3.5,1,255,0.998191325158488,"black"
"14","casusbellilive","mimisramova",2.8842287696326,3,3,344,1.10811840824034,"darkgreen"
"15","casusbellilive","mimisramova",2.68484536164441,3,3,344,1.10811840824034,"darkgreen"
"16","casusbellilive","mimisramova",2.3541084391474,2.5,3,344,1.10811840824034,"darkgreen"
"17","casusbellilive","smebratia",2.68033551341456,3,3.5,31,1.19905648231362,"darkgreen"
"18","casusbellilive","mimisramova",2.44870631990508,2.5,3,344,1.10811840824034,"darkgreen"
"19","casusbellilive","mimisramova",1.72427586960079,2,3,344,1.10811840824034,"darkgreen"
"20","casusbellilive","mimisramova",2.34830486304816,2.5,3,344,1.10811840824034,"darkgreen"
"21","casusbellilive","SvetKolemNas",4.25185713727142,4.5,5,17,2.09114864353793,"grey"
"22","casusbellilive","mimisramova",2.42488163663107,2.5,3,344,1.10811840824034,"darkgreen"
"23","casusbellilive","mimisramova",1.34242268082221,1.5,3,344,1.10811840824034,"darkgreen"
"24","casusbellilive","mimisramova",2.94743372188705,3,3,344,1.10811840824034,"darkgreen"
"25","casusbellilive","mimisramova",2.65417654187796,3,3,344,1.10811840824034,"darkgreen"
"26","casusbellilive","mimisramova",2.65417654187796,3,3,344,1.10811840824034,"darkgreen"
"27","casusbellilive","mimisramova",2.65417654187796,3,3,344,1.10811840824034,"darkgreen"
"28","casusbellilive","mimisramova",3.06445798922692,3.5,3,344,1.10811840824034,"darkgreen"
"29","casusbellilive","mimisramova",4.03830217219952,4.5,3,344,1.10811840824034,"darkgreen"
"30","casusbellilive","mimisramova",4.03826240710478,4.5,3,344,1.10811840824034,"darkgreen"
"31","casusbellilive","mimisramova",4.03830217219952,4.5,3,344,1.10811840824034,"darkgreen"
"32","casusbellilive","mimisramova",4.03830217219952,4.5,3,344,1.10811840824034,"darkgreen"
"33","casusbellilive","mimisramova",4.00633766037455,4.5,3,344,1.10811840824034,"darkgreen"
"34","casusbellilive","mimisramova",3.96227460462331,4,3,344,1.10811840824034,"darkgreen"
"35","casusbellilive","mimisramova",3.48415742436538,3.5,3,344,1.10811840824034,"darkgreen"
"36","casusbellilive","mimisramova",2.68752896121463,3,3,344,1.10811840824034,"darkgreen"
"37","casusbellilive","mimisramova",2.83632411570675,3,3,344,1.10811840824034,"darkgreen"
"38","casusbellilive","ksbspravy",3.28847280059978,3.5,4.5,36,1.29625765735454,"darkgreen"
"39","casusbellilive","investigativnyblogSK",2.83314711191279,3,1,255,0.998191325158488,"black"
"40","casusbellilive","mimisramova",2.01283722470517,2.5,3,344,1.10811840824034,"darkgreen"
"41","casusbellilive","mimisramova",1.75587485567249,2,3,344,1.10811840824034,"darkgreen"
"42","casusbellilive","investigativnyblogSK",3.01410032151962,3.5,1,255,0.998191325158488,"black"
"43","casusbellilive","mimisramova",3.22219604630172,3.5,3,344,1.10811840824034,"darkgreen"
"44","casusbellilive","investigativnyblogSK",3.01410032151962,3.5,1,255,0.998191325158488,"black"
"45","casusbellilive","mimisramova",3.22219604630172,3.5,3,344,1.10811840824034,"darkgreen"
"46","casusbellilive","investigativnyblogSK",2.02118929906994,2.5,1,255,0.998191325158488,"black"
"47","casusbellilive","investigativnyblogSK",3.50297305906563,4,1,255,0.998191325158488,"black"
