"","src_username","dst_username","mean_forward_time","mode_forward_time","sd_forward_time","n_records","ratio_below_t","left_ratio","bar_color"
"1","BN4JeyTQ6RVkMTNk","MGzpravy",5.00719817329845,5,0.660150262700868,8,0,0,"grey"
"2","BN4JeyTQ6RVkMTNk","aliancenarodnichsil",4.68276362880002,5,0.557433398633112,21,0,0,"darkgreen"
"3","BN4JeyTQ6RVkMTNk","jarek53",3.31444589843746,2.5,1.19939615830405,24,0.333333333333333,1.34108931436021,"darkgreen"
"4","BN4JeyTQ6RVkMTNk","zbylin",3.64387566879361,4,0.763619110008614,396,0.0707070707070707,1.0542121488597,"darkgreen"
"5","InfoVojnaOfficial","SvetKolemNas",3.37008997680782,3.5,0.905619859530803,10,0.2,1.18810998685126,"grey"
"6","InfoVojnaOfficial","investigativnyblogSK",3.54504886537662,4,0.795525438227354,13,0.0769230769230769,0.814168363070454,"grey"
"7","InfoVojnaOfficial","kanalklubunekonvencnemysliacich",3.64162244114933,4,0.831470913192212,21,0.142857142857143,1.68317195689446,"darkgreen"
"8","InfoVojnaOfficial","ksbspravy",3.50314454312602,4,0.819589744982306,165,0.127272727272727,1.15195849408766,"darkgreen"
"9","InfoVojnaOfficial","mimisramova",2.68059338825621,3,0.776935328848883,46,0.434782608695652,1.06539069075317,"darkgreen"
"10","InfoVojnaOfficial","smebratia",3.75685757790267,5,1.01657252363416,29,0.137931034482759,1.27523896217114,"darkgreen"
"11","InfoVojnaOfficial","vsetkyspravy",4.18525059920454,4.5,0.877764883579316,39,0.0512820512820513,1.86934801559378,"darkgreen"
"12","InfodefenseCZE","MGzpravy",4.30738046842501,5,0.785103613638072,9,0,0,"grey"
"13","InfodefenseCZE","aliancenarodnichsil",4.08387853219818,5,0.980375240376066,164,0.0853658536585366,1.60788104703576,"darkgreen"
"14","InfodefenseCZE","coNemateVedet",2.72355228933113,3,0.267132166993037,12,0.25,1.24170808509246,"grey"
