"message_id","F09F918D","F09F9881","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A3","F09FA4A1","F09F94A5","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F998F","F09F918C","F09F9988","F09FA4AF","F09F98A1","F09FA4B7","other"
57837,3310,0,0,107,0,5,66,0,7,0,0,0,0,0,0,0,10,0,0,1
57038,415,5,13,0,58,0,4,0,0,0,0,0,0,0,1,0,0,0,1,3
57044,390,0,13,0,0,0,8,0,0,0,53,0,0,0,3,0,0,0,0,0
57542,390,0,83,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
67153,365,0,19,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53839,352,0,2,0,22,0,44,0,0,0,11,0,0,0,0,0,0,0,0,0
59683,350,0,22,0,20,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
52747,344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58003,342,7,0,0,58,1,0,0,0,7,0,0,0,0,0,0,0,0,13,0
52926,338,2,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0
53830,338,0,26,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
61627,338,16,41,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0
51764,337,0,2,0,50,0,0,0,5,0,5,0,0,0,1,0,0,0,0,5
65684,335,0,48,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51217,330,0,59,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60865,330,0,2,0,0,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0
53346,329,0,22,0,15,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
60709,329,0,12,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52319,326,0,5,0,12,0,0,0,2,0,47,0,0,0,0,0,0,0,0,0
52721,325,0,1,0,30,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1
59599,322,1,21,0,12,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
58004,321,0,52,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
53828,320,0,0,0,2,3,0,0,8,0,5,0,0,0,0,0,0,0,0,0
57887,318,0,61,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17
61126,317,0,103,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
53818,316,0,19,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61910,315,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
53812,311,0,35,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53179,309,22,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
59463,308,0,63,0,0,4,2,1,0,0,0,0,0,0,8,0,0,0,2,0
61907,308,0,0,0,32,1,0,0,0,0,3,0,0,0,0,0,0,0,5,0
62182,307,0,21,0,0,0,0,1,1,9,4,0,1,0,16,0,0,0,0,3
52141,306,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57918,306,0,0,1,13,0,0,0,0,0,94,0,0,0,7,0,0,0,0,0
53835,305,0,48,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0
56526,304,0,0,0,0,0,0,0,0,0,52,0,0,0,15,0,0,0,0,0
58877,303,0,0,25,0,0,0,16,12,0,2,0,0,0,1,0,2,1,0,0
63311,303,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54558,302,0,17,0,12,0,0,0,0,0,46,0,0,0,0,0,0,0,1,0
57930,302,7,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
61921,302,0,6,0,7,0,0,0,1,2,52,0,0,0,4,0,0,0,0,0
54074,300,0,4,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
53843,299,0,13,0,41,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
62417,299,56,8,0,21,0,8,0,0,0,7,0,0,0,5,0,0,0,0,0
56554,298,0,17,0,34,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0
61592,298,0,18,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62147,298,0,2,0,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
58106,296,0,11,0,26,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
63539,296,0,61,0,23,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2
51267,294,0,8,0,1,0,0,0,0,0,57,0,0,0,0,0,0,0,0,2
53864,294,0,2,5,0,0,0,0,3,5,0,0,0,0,0,0,0,10,0,0
59151,293,0,6,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
59372,293,0,26,0,14,0,3,0,0,3,14,0,0,0,0,0,0,0,0,0
63934,293,0,11,0,85,0,0,0,0,2,0,0,0,0,5,0,0,1,1,37
57335,292,4,19,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
64926,291,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56715,290,0,68,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60357,290,0,0,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
64063,290,0,1,0,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
51668,289,0,0,0,2,0,2,0,0,0,32,0,0,0,0,0,0,0,0,3
53873,289,0,2,0,6,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
56841,289,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59440,289,0,26,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
61785,288,3,3,0,11,0,0,0,1,0,65,0,0,0,3,0,0,0,0,0
59667,286,0,2,1,59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
63687,286,0,107,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,56
64929,286,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
52964,285,0,28,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
53816,285,0,13,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61725,285,0,3,17,0,0,0,0,3,0,59,0,0,0,0,0,0,1,0,3
59457,284,0,18,0,17,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
51865,283,0,2,0,44,0,8,0,0,2,0,0,0,0,0,0,0,0,2,0
61971,283,0,13,0,43,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0
61863,282,0,0,0,28,0,0,0,2,0,44,0,0,0,4,0,0,0,0,0
57528,281,1,3,0,2,2,0,0,1,0,0,0,0,0,24,0,5,0,0,0
61573,280,2,39,0,39,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0
61997,279,2,0,0,43,0,0,0,0,0,1,0,0,0,7,0,0,0,2,0
55063,278,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62838,278,1,2,0,0,0,0,0,5,0,20,0,0,0,4,0,1,1,0,0
56692,277,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
60660,277,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,0
61914,277,0,27,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63056,277,0,61,0,0,0,2,0,0,3,26,0,0,0,0,0,0,0,0,0
52310,276,0,4,0,25,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0
64900,276,0,0,0,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
53399,275,0,6,0,6,0,0,0,10,0,21,0,0,0,0,0,0,0,0,0
54086,275,0,4,2,27,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0
64563,275,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53072,274,0,22,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
64877,274,0,4,0,0,0,0,4,0,0,46,0,0,0,0,0,0,0,0,0
51760,273,0,0,0,0,2,0,0,4,0,29,0,0,0,0,0,0,3,0,0
53900,271,0,40,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
56902,271,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64263,271,0,10,0,16,0,0,0,0,3,59,0,0,0,3,0,0,0,0,0
66807,270,0,0,0,44,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
61404,269,0,7,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0
64584,269,1,14,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1
56168,268,7,15,0,3,1,0,0,0,1,28,0,0,0,0,0,0,0,0,0
58765,268,3,0,0,0,0,0,0,0,0,65,0,0,0,9,0,0,0,2,0
56580,267,0,9,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0
57102,267,0,2,0,10,0,0,0,0,0,56,0,0,0,2,0,0,0,0,0
54516,266,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57514,266,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
58465,266,0,27,0,8,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
60756,266,0,69,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57443,265,21,0,0,11,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0
65121,265,0,12,0,0,0,0,0,0,0,12,0,0,0,26,0,0,0,0,0
65445,265,0,61,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0
53842,264,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
59111,264,0,6,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0
59467,264,0,42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
60620,264,5,3,0,32,0,0,0,2,0,0,0,3,0,0,0,0,5,0,0
60720,264,0,0,0,0,0,0,0,0,1,21,0,0,0,2,0,0,0,0,0
62095,264,0,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58756,263,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53820,262,0,32,0,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
56669,262,0,6,0,6,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0
58130,262,0,0,0,23,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
64965,262,0,0,0,7,0,0,0,0,0,53,0,0,0,2,0,0,0,0,0
51638,261,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
61960,261,0,3,0,38,0,0,0,3,6,0,0,0,0,0,0,0,0,0,9
62314,261,0,0,0,0,0,0,0,2,0,15,0,0,0,22,0,0,1,0,0
57171,260,0,37,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
58009,260,0,21,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58053,260,41,0,0,7,2,0,58,0,0,0,0,0,0,0,0,0,4,0,0
61748,260,0,17,0,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
58178,259,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51686,258,0,29,0,22,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0
