"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A3","F09F92A9","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F998F","F09F918C","F09F9695","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09F8DBE","F09FA4B7","other"
25958,1614,0,0,1,0,0,4,0,0,0,0,0,0,302,0,0,0,0,0,11,0,0,0,0,0,4
22363,1439,0,0,139,0,45,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24232,1434,0,0,47,0,113,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,557,1,6
26671,1411,20,0,15,0,64,0,0,0,0,0,0,12,254,0,0,0,9,0,0,0,0,0,0,0,0
30143,1385,0,0,95,0,221,0,0,2,5,0,0,0,76,0,0,0,0,2,0,0,0,0,0,0,0
30632,1355,0,0,30,0,45,0,8,1,4,0,0,0,216,0,4,15,0,0,0,0,0,2,0,0,3
24433,1316,0,0,199,0,66,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,2,0
23481,1287,0,0,275,0,52,0,0,0,0,0,0,0,78,0,0,5,0,0,17,0,0,0,18,0,0
23480,1255,1,0,342,0,79,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
22164,1229,0,0,129,0,107,0,0,0,3,2,0,0,0,0,0,0,22,0,0,0,0,3,0,1,7
22797,1198,13,0,1,0,0,1,221,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
25184,1194,0,0,149,0,84,2,2,2,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0
26754,1181,0,0,17,0,1,1,0,6,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0
22842,1167,0,0,50,0,132,0,0,3,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4
24519,1167,0,0,208,0,47,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
30025,1154,2,0,58,0,210,0,0,0,0,0,0,2,70,0,0,0,4,0,0,0,0,0,0,0,1
26310,1149,0,0,37,0,122,4,0,0,0,0,0,0,22,0,0,27,8,0,0,0,0,0,0,0,0
21467,1148,2,0,30,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
27530,1140,0,0,43,0,10,0,0,0,2,0,0,0,184,0,0,0,4,0,0,0,0,7,0,0,3
26005,1131,0,0,193,0,6,0,0,0,0,0,0,0,85,0,0,41,0,0,0,0,0,0,0,0,0
36737,1129,0,0,18,0,101,0,0,0,2,0,0,0,65,0,0,0,2,0,0,0,0,0,0,0,1
23225,1120,14,3,30,0,152,1,0,0,0,6,0,0,5,0,0,0,4,0,1,0,0,0,0,1,0
29753,1118,0,4,88,0,203,1,0,1,0,0,2,0,3,0,0,0,11,1,0,0,0,0,0,0,14
27026,1116,0,0,16,0,2,2,1,0,0,0,0,10,143,0,0,0,0,0,0,0,0,0,0,0,10
36137,1111,0,2,142,0,57,0,0,0,8,2,0,2,0,0,0,16,0,0,0,0,0,0,0,0,3
30636,1106,0,0,12,0,29,0,0,15,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0
31838,1104,5,0,47,0,172,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,41,1,4
21204,1099,0,0,156,0,40,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,2,7
26998,1098,2,0,25,0,135,0,0,0,14,0,0,1,48,0,0,0,10,0,0,0,0,0,0,0,3
23458,1095,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,33,1,0
23513,1089,0,0,36,0,130,2,0,0,0,7,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0
26311,1088,0,0,29,0,196,0,0,0,3,3,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0
29874,1087,59,0,13,0,5,0,47,6,0,0,1,0,170,0,0,0,0,1,0,0,0,0,11,0,2
26395,1082,0,0,69,0,44,0,0,0,0,4,0,0,189,0,0,0,0,0,0,0,0,0,0,3,0
36445,1082,0,2,142,0,46,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,0,0,0,0,1
24510,1080,21,0,23,0,7,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0
28729,1078,0,0,55,0,105,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,7,1
21846,1075,27,0,56,0,132,4,0,4,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,2
29329,1072,0,174,15,0,0,2,0,21,2,8,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0
28835,1071,0,0,51,0,13,0,4,0,0,0,0,0,128,0,1,0,0,0,0,0,0,1,0,0,0
25786,1062,0,0,31,0,113,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,2
22830,1059,0,2,104,0,62,0,0,0,0,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
24311,1057,8,0,55,0,204,2,0,0,0,0,0,0,26,0,0,2,6,0,0,0,0,0,0,3,1
