"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918E","F09F92A9","F09FA4A1","F09F94A5","F09F98A2","F09F98B1","F09FA4AF"
62046,952,0,0,50,0,0,0,0,3,0,0,0
62385,924,0,0,202,25,0,0,0,0,0,0,0
59969,734,5,0,84,0,0,0,0,0,0,0,0
61946,725,22,0,75,0,0,0,0,0,0,0,0
59811,716,3,0,79,0,0,0,0,0,0,0,0
53719,705,0,0,127,0,2,0,0,0,0,0,0
59982,690,52,0,38,0,0,0,0,0,0,0,0
54720,688,0,0,60,0,0,0,0,2,0,0,0
55956,688,0,0,75,0,0,0,0,0,0,0,0
51757,683,0,0,168,0,0,0,0,1,0,0,0
61813,680,0,0,134,0,0,0,0,2,0,0,0
63152,680,23,0,79,0,0,0,0,0,0,0,0
60525,673,0,0,89,0,0,0,0,3,0,0,0
57418,672,28,0,145,0,0,0,0,0,0,0,0
55333,670,0,0,105,0,0,0,0,1,0,0,0
63445,666,24,0,67,0,0,0,0,0,0,0,0
59804,658,0,0,52,0,3,0,0,0,0,0,0
61047,657,13,0,39,0,0,0,0,0,0,0,0
61309,657,11,0,90,0,0,0,0,0,0,0,0
53393,654,13,0,77,0,0,0,0,0,0,0,0
61592,652,10,0,54,0,0,0,0,0,0,0,0
63324,652,0,0,61,0,0,0,0,0,0,0,0
60011,649,0,0,42,0,0,0,0,0,19,0,0
59934,648,0,0,58,0,4,0,0,0,0,0,0
51538,637,1,0,89,0,0,0,0,0,0,0,0
51933,636,7,0,96,0,0,0,0,0,0,0,0
62173,634,0,0,69,0,0,0,0,3,0,0,0
57809,629,3,0,78,0,0,0,0,0,0,0,0
61275,629,0,0,62,0,0,0,0,1,0,0,0
59777,626,3,0,70,0,0,0,0,0,0,0,0
65151,626,0,0,60,0,0,0,0,2,0,0,0
52863,624,6,0,123,0,0,0,0,0,0,0,0
60281,623,11,0,50,0,0,0,0,0,0,0,0
64354,619,0,0,43,0,0,0,0,7,0,0,0
59851,618,12,0,66,0,0,0,0,0,0,0,0
54797,617,21,0,96,0,0,0,0,0,0,0,0
52212,611,13,0,73,0,0,0,0,0,0,0,0
63856,608,0,0,81,0,0,0,4,0,0,0,0
59849,606,6,0,56,0,0,0,0,0,0,0,0
63269,604,0,0,21,0,0,0,0,0,31,0,0
61036,602,0,0,74,0,0,0,0,5,0,0,0
64755,600,0,0,102,0,0,0,0,1,0,0,0
53781,597,106,0,31,0,0,0,0,0,0,0,0
59953,593,53,0,33,0,0,0,0,0,0,0,0
59283,592,0,0,107,0,0,0,0,3,0,0,0
64186,585,0,0,33,0,0,0,0,2,0,0,0
58871,584,10,0,46,0,0,0,0,0,0,0,0
64799,582,0,0,63,0,0,0,0,2,0,0,0
60868,581,0,0,48,0,0,0,0,3,0,0,0
60596,579,0,0,23,1,0,0,0,0,0,0,0
54835,577,0,0,54,0,0,0,0,0,0,2,0
59958,577,0,0,56,0,0,0,0,2,0,0,0
64519,577,0,0,51,0,6,0,0,0,0,0,0
60333,574,0,0,47,0,0,0,0,0,2,0,0
62543,574,0,0,25,3,0,0,0,0,0,0,0
62493,572,8,0,128,0,0,0,0,0,0,0,0
52898,569,0,0,108,0,0,0,0,1,0,0,0
52442,568,0,0,79,0,0,0,0,3,0,0,0
63482,568,0,0,47,0,6,0,0,0,0,0,0
52453,567,9,0,69,0,0,0,0,0,0,0,0
59784,567,0,0,56,0,2,0,0,0,0,0,0
59555,566,11,0,60,0,0,0,0,0,0,0,0
60986,565,18,0,40,0,0,0,0,0,0,0,0
64238,565,0,1,75,0,0,0,0,0,0,0,0
64252,564,0,0,49,0,0,0,3,0,0,0,0
59985,563,2,0,30,0,0,0,0,0,0,0,0
61827,562,0,0,50,0,0,0,0,2,0,0,0
56452,561,0,0,86,0,0,0,0,0,0,0,0
56113,560,0,0,48,0,0,0,0,0,7,0,0
