"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F918C","F09F958A","F09F9988","F09FA4AF","F09FA4B7","other"
80498,272,0,0,61,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0
85185,262,0,0,32,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0
81978,257,4,9,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
81051,256,0,0,8,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
71161,252,0,0,10,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,2
76137,240,0,0,13,0,47,0,0,0,0,0,0,0,0,8,0,0,0,0,0
86272,239,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
63445,236,11,0,26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77489,232,0,0,48,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79230,228,2,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
69099,227,0,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80502,223,0,0,49,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81421,218,0,0,18,0,15,0,0,1,0,0,0,0,0,3,0,0,0,0,15
71120,214,0,0,60,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82807,212,0,0,7,0,32,0,0,7,0,6,0,0,2,0,0,0,0,0,0
83393,210,0,0,39,0,1,0,0,7,0,0,0,0,0,5,0,0,0,0,0
83150,209,0,0,24,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78443,207,0,0,8,0,23,0,0,2,0,0,0,0,0,2,0,0,0,0,0
70992,206,0,0,31,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
74699,204,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
73852,203,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0
81299,203,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67156,200,4,0,8,0,42,0,0,0,0,0,0,0,0,7,0,0,0,0,0
84019,200,0,0,7,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0
63594,198,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68288,198,3,0,24,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0
81293,198,0,0,9,0,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0
63440,196,0,0,13,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72118,196,0,0,19,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0
79330,196,0,0,14,0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0
85260,195,0,0,26,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71358,194,0,0,21,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76064,194,0,0,3,0,3,0,5,0,0,7,0,0,0,0,0,0,0,2,0
79263,193,0,0,4,0,5,0,0,5,0,0,0,0,0,2,0,0,0,0,0
72305,190,0,0,15,0,25,0,0,0,0,0,0,0,0,5,1,0,0,0,0
66838,188,0,0,49,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73690,188,0,0,28,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
79862,188,0,0,20,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0
62544,187,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72819,187,5,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61479,186,14,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64158,185,0,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
74438,185,0,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0
79390,185,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
74777,184,0,0,5,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,2
79394,184,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2
81331,184,0,0,14,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65849,182,0,0,28,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0
76432,182,0,0,61,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6
82401,181,0,0,8,0,44,0,0,0,0,0,0,0,0,3,0,0,0,0,0
83235,181,0,0,28,0,0,0,0,0,0,0,2,4,0,0,0,0,0,10,0
83396,181,0,0,22,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63365,180,0,0,13,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
63444,180,0,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70900,179,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80309,179,0,0,18,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87036,179,0,0,13,0,13,0,1,1,0,0,37,0,0,0,0,0,0,0,0
71510,178,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
74208,178,1,0,9,0,20,0,0,2,0,0,0,0,0,10,0,0,0,0,0
81985,178,0,0,49,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75870,177,4,0,8,0,45,0,0,0,0,0,0,0,0,6,0,0,0,0,0
81290,177,0,0,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83646,177,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87237,177,8,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0
62638,176,0,0,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2
65874,176,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
71097,176,0,0,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72908,176,5,0,71,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
73476,176,0,0,17,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0
79821,176,0,0,7,0,40,0,0,3,0,0,0,0,0,1,0,0,0,0,0
63584,175,17,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66071,175,1,0,17,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
72732,175,0,0,22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
78220,175,0,0,12,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0
64358,174,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
71772,173,0,0,19,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76633,173,0,0,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0
85254,173,1,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61590,172,0,0,33,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61712,172,0,0,22,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73251,172,0,0,4,0,33,0,0,0,0,3,0,0,0,6,4,0,0,3,0
77975,172,0,0,12,0,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0
64242,171,0,0,32,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64939,171,1,0,14,0,5,0,0,1,0,0,0,0,0,8,0,0,0,0,0
65730,171,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65879,171,0,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67603,171,0,0,34,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80503,171,2,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
65857,170,0,0,16,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68204,170,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
73972,170,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64106,169,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71415,169,0,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71735,169,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
85738,169,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0
66092,168,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73966,168,0,0,29,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
62577,167,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82793,167,0,1,19,0,6,0,5,0,0,0,0,0,0,7,0,0,0,0,0
87028,167,0,0,16,0,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0
71138,166,0,0,7,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
83637,166,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64761,165,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70564,165,0,0,20,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80688,164,0,0,14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84839,164,0,0,9,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,1
63441,163,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0
65884,163,0,0,32,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0
67845,163,0,0,17,0,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0
70430,163,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0
78826,163,0,16,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79605,163,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
80586,163,0,0,4,0,28,0,0,0,6,0,0,0,0,0,0,0,0,0,2
80974,163,1,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81297,163,5,0,11,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,22
65865,162,1,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67910,162,0,0,16,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0
75860,162,0,0,3,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0
79018,162,1,0,4,0,15,1,0,0,0,0,0,0,0,13,0,0,0,0,0
87029,162,1,0,11,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,1
63001,161,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63589,161,2,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70993,161,0,0,15,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0
71081,161,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
81864,161,0,0,17,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0
62803,160,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
64256,160,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
