"unified_emo","emo_name","emo","count","cumulative_sum","total_sum","cumulative_percent"
"?","THUMBS UP SIGN","F09F918D",25567525,25567525,60264321,42.4256418652755
"?","GRINNING FACE WITH SMILING EYES","F09F9881",4915220,30482745,60264321,50.5817447109377
"?","HEAVY BLACK HEART","E29DA4",4836765,35319510,60264321,58.6076627329793
"?","FACE WITH OPEN MOUTH VOMITING","F09FA4AE",4335873,39655383,60264321,65.8024222989254
"?","CLAPPING HANDS SIGN","F09F918F",3260208,42915591,60264321,71.2122700262399
"?","SERIOUS FACE WITH SYMBOLS COVERING MOUTH","F09FA4AC",2835438,45751029,60264321,75.9172728420851
"?","THUMBS DOWN SIGN","F09F918E",1847375,47598404,60264321,78.9827267779222
"?","ROLLING ON THE FLOOR LAUGHING","F09FA4A3",1501818,49100222,60264321,81.4747784182286
"?","PILE OF POO","F09F92A9",1284632,50384854,60264321,83.6064410316678
"?","FIRE","F09F94A5",1233485,51618339,60264321,85.6532325320649
"?","CLOWN FACE","F09FA4A1",1003800,52622139,60264321,87.3188947072016
"?","THINKING FACE","F09FA494",917543,53539682,60264321,88.8414257583687
"?","PILL","F09F928A",894813,54434495,60264321,90.3262396335636
"?","HUNDRED POINTS SYMBOL","F09F92AF",786794,55221289,60264321,91.6318114660248
"?","CRYING FACE","F09F98A2",614771,55836060,60264321,92.6519357946471
"?","OK HAND SIGN","F09F918C",599442,56435502,60264321,93.6466238456416
"?","FACE SCREAMING IN FEAR","F09F98B1",526220,56961722,60264321,94.5198104862079
"?","SEE-NO-EVIL MONKEY","F09F9988",421193,57382915,60264321,95.2187198790475
"?","PERSON WITH FOLDED HANDS","F09F998F",409571,57792486,60264321,95.8983442292497
"?","GRINNING FACE WITH STAR EYES","F09FA4A9",361568,58154054,60264321,96.4983144836229
"?","SHRUG","F09FA4B7",296551,58450605,60264321,96.9903983486348
"?","DOVE OF PEACE","F09F958A",262985,58713590,60264321,97.4267842493405
"?","REVERSED HAND WITH MIDDLE FINGER EXTENDED","F09F9695",257373,58970963,60264321,97.8538578406948
"?","SHOCKED FACE WITH EXPLODING HEAD","F09FA4AF",225963,59196926,60264321,98.2288110406156
"?","POUTING FACE","F09F98A1",190474,59387400,60264321,98.5448753334498
"?","BOTTLE WITH POPPING CORK","F09F8DBE",153332,59540732,60264321,98.7993078027047
"?","LIGHTNING","E29AA1",106951,59647683,60264321,98.9767776525683
