"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F998F","F09F918C","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09FA4B7","other"
58782,935,6,0,73,0,56,0,0,0,4,0,0,0,0,0,0,0,0,0,0
61106,871,8,0,121,0,66,1,0,7,5,0,0,0,0,0,0,0,0,0,0
59927,820,6,0,14,0,45,1,2,0,0,69,0,0,0,0,0,0,0,0,0
53731,811,3,0,84,0,60,0,0,0,0,0,0,0,0,0,0,0,0,2,0
63586,795,0,0,0,0,66,0,0,0,4,67,0,0,0,0,0,0,0,0,1
57055,793,77,0,13,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58681,793,3,0,75,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64132,774,0,0,42,0,81,0,1,0,6,34,0,0,0,0,0,0,0,0,1
61275,764,2,0,61,0,144,0,2,0,3,0,0,0,0,0,0,0,0,0,0
67437,759,6,5,24,4,162,0,0,5,0,0,0,0,2,0,0,8,0,0,0
61154,751,0,0,23,0,81,0,0,0,0,53,0,0,0,0,0,0,0,0,0
64910,749,0,0,40,0,24,1,0,1,3,156,0,0,0,0,2,0,0,0,1
54532,734,0,0,9,0,15,0,0,0,0,0,0,0,0,61,0,0,0,0,0
61641,723,0,2,42,0,29,0,0,0,1,77,0,0,0,0,0,0,0,0,0
64087,720,21,4,2,5,7,0,0,0,0,102,2,0,36,0,0,0,0,0,1
55625,715,0,0,22,0,57,0,0,0,5,0,0,0,0,0,0,0,0,0,0
54963,712,4,0,22,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52849,711,0,0,120,0,48,0,0,0,0,0,0,0,0,20,0,0,0,0,0
56394,698,101,0,16,0,86,0,5,0,0,0,0,0,0,0,0,0,0,0,0
54970,696,0,0,274,0,20,1,0,0,0,0,0,0,0,1,0,0,0,9,0
61936,693,0,5,9,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62600,693,0,3,66,0,32,0,0,0,0,15,0,0,0,3,1,0,0,0,1
65407,691,5,0,52,0,44,0,1,0,1,0,0,0,8,0,0,0,0,0,1
55622,687,1,0,113,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62061,687,9,0,31,0,97,0,0,0,1,4,0,0,3,0,0,0,0,0,0
52967,685,11,0,62,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66781,681,1,0,165,0,57,0,0,0,0,0,0,0,6,0,0,0,0,0,0
66425,679,0,2,44,0,32,0,0,0,3,101,0,0,0,0,0,0,0,0,0
67265,678,0,0,39,0,17,0,8,0,5,7,0,0,0,0,0,0,0,0,0
54824,677,2,0,86,0,56,0,0,0,2,0,0,0,0,0,0,0,0,0,0
55697,676,65,0,0,0,30,8,4,0,2,0,0,0,0,0,0,0,0,0,0
52751,675,0,0,90,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58671,674,2,0,116,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
62908,668,2,0,21,0,34,0,0,0,0,99,0,0,6,0,0,0,0,0,1
54576,663,2,0,49,0,65,1,0,0,0,0,0,0,0,6,0,0,0,0,0
62267,661,3,0,48,0,45,0,0,0,12,15,0,0,0,0,0,0,0,0,1
56657,658,1,0,12,0,69,0,0,0,0,0,0,0,0,31,0,0,0,0,0
55676,656,6,0,94,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55621,654,0,0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0
56653,654,5,0,32,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0
55634,652,0,0,108,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61419,652,0,0,11,0,71,0,0,0,2,47,0,0,0,0,0,0,0,0,0
55623,651,7,0,87,0,35,4,0,0,1,0,0,0,0,0,0,0,0,0,0
59027,647,0,0,3,0,88,0,17,0,13,0,0,0,0,0,0,0,0,0,0
69587,646,0,0,6,0,102,0,0,0,3,48,0,0,0,0,0,0,0,0,0
64974,645,0,0,55,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52875,643,0,0,66,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57025,641,3,0,35,0,117,0,4,0,1,0,0,0,0,0,0,0,0,4,0
52845,637,1,0,36,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55349,636,6,0,27,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69516,636,1,0,18,0,4,0,0,0,0,104,0,0,0,0,0,0,0,0,0
58757,635,0,0,18,0,141,0,2,0,0,0,0,0,0,0,0,0,0,8,0
55702,634,3,0,81,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54966,633,0,0,10,0,21,6,65,0,0,0,0,0,0,0,0,0,0,0,0
63377,630,20,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
61286,628,0,1,33,0,76,0,0,0,0,3,0,0,0,0,0,0,0,0,0
65497,628,0,1,55,0,51,0,0,0,0,18,0,0,0,0,0,0,0,0,2
53045,627,0,0,102,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65701,626,0,1,28,0,16,0,0,0,0,63,0,0,16,0,0,0,0,0,0
59169,625,0,0,78,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58807,623,0,0,69,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52992,621,0,0,69,0,40,2,0,0,0,0,0,0,0,0,0,0,0,8,0
55615,620,8,0,67,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65725,620,2,0,23,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2
55651,619,3,0,83,0,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0
53380,618,32,0,0,0,67,0,0,0,7,0,0,0,0,0,0,0,0,0,0
55432,612,49,0,60,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54540,610,48,0,4,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0
