"count_matching_records","probability"
2,0.000318538748374809
3,2.71449182645655e-06
4,1.73490648629722e-08
5,8.87061213258541e-11
6,3.77963501338876e-13
7,1.38038218985626e-15
8,4.41120137369683e-18
9,1.25303123872645e-20
10,3.20338709796352e-23
11,7.44499243278578e-26
12,1.58609990228321e-28
13,3.11913886288398e-31
14,5.69579300482944e-34
15,9.70756847365089e-37
16,1.5510935920828e-39
17,2.33258031406351e-42
18,3.31292515661151e-45
19,4.45764570335448e-48
20,5.69800827469058e-51
21,6.93667431923494e-54
22,8.06076291064477e-57
23,8.959748831699e-60
24,9.54403706567775e-63
25,9.75977110666494e-66
26,9.59652078277957e-69
27,9.08651960107132e-72
28,8.29634989930743e-75
29,7.3136906358607e-78
30,6.23250814965694e-81
31,5.13982917211323e-84
32,4.10625797536431e-87
33,3.1811182579307e-90
34,2.39192975299233e-93
35,1.74714077879044e-96
36,1.24071754427907e-99
37,8.57272165661856e-103
38,5.76743422386331e-106
39,3.78064210644072e-109
