"","count","hex_u_emo","name","Emoji","Unicode.codepoint","Occurrences","Position","Negative","Neutral","Positive","emo_name","negative_norm","neutral_norm","positive_norm","rank"
"1",19527911,"F09F918D","THUMBS UP SIGN","👍",NA,1,NA,0,0.1,0.9,"THUMBS UP SIGN",0,0.1,0.9,1
"2",4341785,"F09F9881","GRINNING FACE WITH SMILING EYES","😁",NA,1,NA,0,0.8,0.2,"GRINNING FACE WITH SMILING EYES",0,0.8,0.2,2
"3",3867268,"F09FA4AE","FACE WITH OPEN MOUTH VOMITING","🤮",NA,1,NA,1,0,0,"FACE WITH OPEN MOUTH VOMITING",1,0,0,3
"4",3213539,"E29DA4","HEAVY BLACK HEART","❤",NA,1,NA,0,0,1,"HEAVY BLACK HEART",0,0,1,4
"5",2241348,"F09FA4AC","SERIOUS FACE WITH SYMBOLS COVERING MOUTH","🤬",NA,1,NA,0.5,0.5,0,"SERIOUS FACE WITH SYMBOLS COVERING MOUTH",0.5,0.5,0,5
"6",2182753,"F09F918F","CLAPPING HANDS SIGN","👏",NA,1,NA,0,0.05,0.95,"CLAPPING HANDS SIGN",0,0.05,0.95,6
"7",1696172,"F09F918E","THUMBS DOWN SIGN","👎",NA,1,NA,0.9,0.1,0,"THUMBS DOWN SIGN",0.9,0.1,0,7
"8",1179747,"F09FA4A3","ROLLING ON THE FLOOR LAUGHING","🤣",NA,1,NA,0,0.8,0.2,"ROLLING ON THE FLOOR LAUGHING",0,0.8,0.2,8
"9",1144289,"F09F92A9","PILE OF POO","💩",NA,1,NA,0.6,0.4,0,"PILE OF POO",0.6,0.4,0,9
"10",862838,"F09FA4A1","CLOWN FACE","🤡",NA,1,NA,0.2,0.8,0,"CLOWN FACE",0.2,0.8,0,10
"11",839385,"F09F94A5","FIRE","🔥",NA,1,NA,0,0.8,0.2,"FIRE",0,0.8,0.2,11
"12",796286,"F09F928A","PILL","💊",NA,1,NA,0.3,0.7,0,"PILL",0.3,0.7,0,12
"13",766394,"F09FA494","THINKING FACE","🤔",NA,1,NA,0,1,0,"THINKING FACE",0,1,0,13
"14",507832,"F09F92AF","HUNDRED POINTS SYMBOL","💯",NA,1,NA,0,0.3,0.7,"HUNDRED POINTS SYMBOL",0,0.3,0.7,14
"15",502518,"F09F98A2","CRYING FACE","😢",NA,1,NA,0.5,0.5,0,"CRYING FACE",0.5,0.5,0,15
"16",443703,"F09F98B1","FACE SCREAMING IN FEAR","😱",NA,1,NA,0.5,0.5,0,"FACE SCREAMING IN FEAR",0.5,0.5,0,16
"17",307838,"F09F998F","PERSON WITH FOLDED HANDS","🙏",NA,1,NA,0.1,0.8,0.1,"PERSON WITH FOLDED HANDS",0.1,0.8,0.1,17
"18",243564,"F09F918C","OK HAND SIGN","👌",NA,1,NA,0,0.4,0.6,"OK HAND SIGN",0,0.4,0.6,18
"19",223492,"F09F9695","REVERSED HAND WITH MIDDLE FINGER EXTENDED","🖕",NA,1,NA,0.5,0.5,0,"REVERSED HAND WITH MIDDLE FINGER EXTENDED",0.5,0.5,0,19
"20",211981,"F09F958A","DOVE OF PEACE","🕊",NA,1,NA,0,0.6,0.4,"DOVE OF PEACE",0,0.6,0.4,20
"21",205071,"F09F9988","SEE-NO-EVIL MONKEY","🙈",NA,1,NA,0,1,0,"SEE-NO-EVIL MONKEY",0,1,0,21
"22",171654,"F09FA4AF","SHOCKED FACE WITH EXPLODING HEAD","🤯",NA,1,NA,0.4,0.4,0.2,"SHOCKED FACE WITH EXPLODING HEAD",0.4,0.4,0.2,22
"23",145326,"F09F98A1","POUTING FACE","😡",NA,1,NA,0.5,0.5,0,"POUTING FACE",0.5,0.5,0,23
"24",88121,"F09F8DBE","BOTTLE WITH POPPING CORK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"25",83560,"F09FA4B7","SHRUG","🤷",NA,1,NA,0.1,0.8,0.1,"SHRUG",0.1,0.8,0.1,25
